Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,
AIANHH,Geography,,not required,,0,(not a predicate),N/A,
AIHHTL,Geography,,not required,,0,(not a predicate),N/A,
AIRES,Geography,,not required,,0,(not a predicate),N/A,
ANRC,Geography,,not required,,0,(not a predicate),N/A,
CBSA,Geography,,not required,,0,(not a predicate),N/A,
CD,Geography,,not required,,0,(not a predicate),N/A,
CNECTA,Geography,,not required,,0,(not a predicate),N/A,
CONCITY,Geography,,not required,,0,(not a predicate),N/A,
COUNTY,Geography,,not required,,0,(not a predicate),N/A,
COUSUB,Geography,,not required,,0,(not a predicate),N/A,
CSA,Geography,,not required,,0,(not a predicate),N/A,
DIVISION,Geography,,not required,,0,(not a predicate),N/A,
DP02_0001E,Estimate!!HOUSEHOLDS BY TYPE!!Total households,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0001EA, DP02_0001M, DP02_0001MA",0,int,DP02,
DP02_0001PE,Percent!!HOUSEHOLDS BY TYPE!!Total households,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0001PEA, DP02_0001PM, DP02_0001PMA",0,int,DP02,
DP02_0002E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0002EA, DP02_0002M, DP02_0002MA",0,int,DP02,
DP02_0002PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0002PEA, DP02_0002PM, DP02_0002PMA",0,float,DP02,
DP02_0003E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0003EA, DP02_0003M, DP02_0003MA",0,int,DP02,
DP02_0003PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0003PEA, DP02_0003PM, DP02_0003PMA",0,float,DP02,
DP02_0004E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0004EA, DP02_0004M, DP02_0004MA",0,int,DP02,
DP02_0004PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0004PEA, DP02_0004PM, DP02_0004PMA",0,float,DP02,
DP02_0005E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0005EA, DP02_0005M, DP02_0005MA",0,int,DP02,
DP02_0005PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0005PEA, DP02_0005PM, DP02_0005PMA",0,float,DP02,
DP02_0006E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0006EA, DP02_0006M, DP02_0006MA",0,int,DP02,
DP02_0006PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0006PEA, DP02_0006PM, DP02_0006PMA",0,float,DP02,
DP02_0007E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0007EA, DP02_0007M, DP02_0007MA",0,int,DP02,
DP02_0007PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0007PEA, DP02_0007PM, DP02_0007PMA",0,float,DP02,
DP02_0008E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0008EA, DP02_0008M, DP02_0008MA",0,int,DP02,
DP02_0008PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0008PEA, DP02_0008PM, DP02_0008PMA",0,float,DP02,
DP02_0009E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0009EA, DP02_0009M, DP02_0009MA",0,int,DP02,
DP02_0009PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0009PEA, DP02_0009PM, DP02_0009PMA",0,float,DP02,
DP02_0010E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0010EA, DP02_0010M, DP02_0010MA",0,int,DP02,
DP02_0010PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0010PEA, DP02_0010PM, DP02_0010PMA",0,float,DP02,
DP02_0011E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With own children of the householder under 18 years",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0011EA, DP02_0011M, DP02_0011MA",0,int,DP02,
DP02_0011PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With own children of the householder under 18 years",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0011PEA, DP02_0011PM, DP02_0011PMA",0,float,DP02,
DP02_0012E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0012EA, DP02_0012M, DP02_0012MA",0,int,DP02,
DP02_0012PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0012PEA, DP02_0012PM, DP02_0012PMA",0,float,DP02,
DP02_0013E,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0013EA, DP02_0013M, DP02_0013MA",0,int,DP02,
DP02_0013PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0013PEA, DP02_0013PM, DP02_0013PMA",0,float,DP02,
DP02_0014E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0014EA, DP02_0014M, DP02_0014MA",0,int,DP02,
DP02_0014PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0014PEA, DP02_0014PM, DP02_0014PMA",0,float,DP02,
DP02_0015E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0015EA, DP02_0015M, DP02_0015MA",0,int,DP02,
DP02_0015PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0015PEA, DP02_0015PM, DP02_0015PMA",0,float,DP02,
DP02_0016E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0016EA, DP02_0016M, DP02_0016MA",0,float,DP02,
DP02_0016PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0016PEA, DP02_0016PM, DP02_0016PMA",0,int,DP02,
DP02_0017E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0017EA, DP02_0017M, DP02_0017MA",0,float,DP02,
DP02_0017PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0017PEA, DP02_0017PM, DP02_0017PMA",0,int,DP02,
DP02_0018E,Estimate!!RELATIONSHIP!!Population in households,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0018EA, DP02_0018M, DP02_0018MA",0,int,DP02,
DP02_0018PE,Percent!!RELATIONSHIP!!Population in households,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0018PEA, DP02_0018PM, DP02_0018PMA",0,int,DP02,
DP02_0019E,Estimate!!RELATIONSHIP!!Population in households!!Householder,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0019EA, DP02_0019M, DP02_0019MA",0,int,DP02,
DP02_0019PE,Percent!!RELATIONSHIP!!Population in households!!Householder,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0019PEA, DP02_0019PM, DP02_0019PMA",0,float,DP02,
DP02_0020E,Estimate!!RELATIONSHIP!!Population in households!!Spouse,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0020EA, DP02_0020M, DP02_0020MA",0,int,DP02,
DP02_0020PE,Percent!!RELATIONSHIP!!Population in households!!Spouse,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0020PEA, DP02_0020PM, DP02_0020PMA",0,float,DP02,
DP02_0021E,Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0021EA, DP02_0021M, DP02_0021MA",0,int,DP02,
DP02_0021PE,Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0021PEA, DP02_0021PM, DP02_0021PMA",0,float,DP02,
DP02_0022E,Estimate!!RELATIONSHIP!!Population in households!!Child,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0022EA, DP02_0022M, DP02_0022MA",0,int,DP02,
DP02_0022PE,Percent!!RELATIONSHIP!!Population in households!!Child,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0022PEA, DP02_0022PM, DP02_0022PMA",0,float,DP02,
DP02_0023E,Estimate!!RELATIONSHIP!!Population in households!!Other relatives,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0023EA, DP02_0023M, DP02_0023MA",0,int,DP02,
